Rank,Title,Year,Runtime,IMDb Rating,Votes,Votes_Numeric,URL
92,Caddo Lake,2024,20241h 43m,6.8,48K,48000,https://www.imdb.com/title/tt15552142/?ref_=sr_t_92
93,It's What's Inside,2024,20241h 43m,6.6,46K,46000,https://www.imdb.com/title/tt14577874/?ref_=sr_t_93
94,Spaceman,2024,20241h 47m,5.7,45K,45000,https://www.imdb.com/title/tt11097384/?ref_=sr_t_94
95,Stree 2,2024,20242h 27m,6.9,44K,44000,https://www.imdb.com/title/tt27510174/?ref_=sr_t_95
96,My Old Ass,2024,20241h 29m,6.9,44K,44000,https://www.imdb.com/title/tt18559464/?ref_=sr_t_96
97,The Platform 2,2024,20241h 39m,4.9,43K,43000,https://www.imdb.com/title/tt27729779/?ref_=sr_t_97
98,Horizon: An American Saga - Chapter 1,2024,20243h 1m,6.6,42K,42000,https://www.imdb.com/title/tt17505010/?ref_=sr_t_98
99,Don't Move,2024,20241h 32m,5.8,42K,42000,https://www.imdb.com/title/tt24807110/?ref_=sr_t_99
100,Madgaon Express,2024,20242h 23m,7.0,42K,42000,https://www.imdb.com/title/tt26745657/?ref_=sr_t_100
101,Auron Mein Kahan Dum Tha,2024,20242h 30m,6.3,41K,41000,https://www.imdb.com/title/tt26659814/?ref_=sr_t_101
102,Vettaiyan,2024,20242h 43m,6.9,41K,41000,https://www.imdb.com/title/tt26936666/?ref_=sr_t_102
103,Colour of Victory,2024,20242h 37m,6.1,40K,40000,https://www.imdb.com/title/tt29808429/?ref_=sr_t_103
104,The Count of Monte-Cristo,2024,20242h 58m,7.6,40K,40000,https://www.imdb.com/title/tt26446278/?ref_=sr_t_104
105,The Instigators,2024,20241h 41m,6.2,40K,40000,https://www.imdb.com/title/tt24169886/?ref_=sr_t_105
106,Bade Miyan Chote Miyan,2024,20242h 43m,3.8,40K,40000,https://www.imdb.com/title/tt18072316/?ref_=sr_t_106
107,I Saw the TV Glow,2024,20241h 40m,5.8,40K,40000,https://www.imdb.com/title/tt15574270/?ref_=sr_t_107
108,Mean Girls,2024,20241h 52m,5.5,39K,39000,https://www.imdb.com/title/tt11762114/?ref_=sr_t_108
109,Better Man,2024,20242h 15m,7.5,39K,39000,https://www.imdb.com/title/tt14260836/?ref_=sr_t_109
110,Megalopolis,2024,20242h 18m,4.7,39K,39000,https://www.imdb.com/title/tt10128846/?ref_=sr_t_110
111,Crew,2024,20241h 58m,5.8,39K,39000,https://www.imdb.com/title/tt21383812/?ref_=sr_t_111
112,A Family Affair,2024,20241h 51m,5.4,38K,38000,https://www.imdb.com/title/tt21051906/?ref_=sr_t_112
113,The Crow,2024,20241h 51m,4.7,38K,38000,https://www.imdb.com/title/tt1340094/?ref_=sr_t_113
114,Under Paris,2024,20241h 44m,5.2,38K,38000,https://www.imdb.com/title/tt13964390/?ref_=sr_t_114
115,Wallace & Gromit: Vengeance Most Fowl,2024,20241h 22m,7.5,38K,38000,https://www.imdb.com/title/tt17163970/?ref_=sr_t_115
116,Salem's Lot,2024,20241h 54m,5.6,37K,37000,https://www.imdb.com/title/tt10245072/?ref_=sr_t_116
117,Lucky Baskhar,2024,20242h 28m,8.0,37K,37000,https://www.imdb.com/title/tt27540542/?ref_=sr_t_117
118,Bob Marley: One Love,2024,20241h 47m,6.2,36K,36000,https://www.imdb.com/title/tt8521778/?ref_=sr_t_118
119,Martin,2024,20242h 27m,2.2,36K,36000,https://www.imdb.com/title/tt15334030/?ref_=sr_t_119
120,Savi,2024,20242h 6m,5.9,36K,36000,https://www.imdb.com/title/tt32308617/?ref_=sr_t_120
121,Arthur the King,2024,20241h 47m,7.0,36K,36000,https://www.imdb.com/title/tt10720352/?ref_=sr_t_121
122,Unfrosted,2024,20241h 37m,5.5,36K,36000,https://www.imdb.com/title/tt14914430/?ref_=sr_t_122
123,The Lord of the Rings: The War of the Rohirrim,2024,20242h 14m,6.3,35K,35000,https://www.imdb.com/title/tt14824600/?ref_=sr_t_123
124,Chandu Champion,2024,20242h 22m,7.8,35K,35000,https://www.imdb.com/title/tt27470893/?ref_=sr_t_124
125,Saturday Night,2024,20241h 49m,6.9,35K,35000,https://www.imdb.com/title/tt27657135/?ref_=sr_t_125
126,Presence,2024,20241h 24m,6.1,35K,35000,https://www.imdb.com/title/tt28249919/?ref_=sr_t_126
127,Uglies,2024,20241h 40m,4.7,35K,35000,https://www.imdb.com/title/tt13186604/?ref_=sr_t_127
128,Mahavatar Narsimha,2024,20242h 10m,9.1,34K,34000,https://www.imdb.com/title/tt34365591/?ref_=sr_t_128
129,Tarot,2024,20241h 32m,4.8,34K,34000,https://www.imdb.com/title/tt14088510/?ref_=sr_t_129
130,A Different Man,2024,20241h 52m,6.9,34K,34000,https://www.imdb.com/title/tt21097228/?ref_=sr_t_130
131,Jackpot!,2024,20241h 46m,5.8,32K,32000,https://www.imdb.com/title/tt26940324/?ref_=sr_t_131
132,Subservience,2024,20241h 46m,5.4,32K,32000,https://www.imdb.com/title/tt24871974/?ref_=sr_t_132
133,Upgraded,2024,20241h 44m,6.1,31K,31000,https://www.imdb.com/title/tt21830902/?ref_=sr_t_133
134,Cuckoo,2024,20241h 42m,5.7,31K,31000,https://www.imdb.com/title/tt12349832/?ref_=sr_t_134
135,Aavesham,2024,20242h 35m,7.8,31K,31000,https://www.imdb.com/title/tt26660021/?ref_=sr_t_135
136,Merry Christmas,2024,20242h 24m,6.9,30K,30000,https://www.imdb.com/title/tt15392282/?ref_=sr_t_136
137,Manjummel Boys,2024,20242h 15m,8.2,30K,30000,https://www.imdb.com/title/tt26458038/?ref_=sr_t_137
138,September 5,2024,20241h 35m,7.1,30K,30000,https://www.imdb.com/title/tt28082769/?ref_=sr_t_138
139,Small Things Like These,2024,20241h 38m,6.7,30K,30000,https://www.imdb.com/title/tt27196021/?ref_=sr_t_139
140,Hanu Man,2024,20242h 38m,7.7,30K,30000,https://www.imdb.com/title/tt15433956/?ref_=sr_t_140
141,Lisa Frankenstein,2024,20241h 41m,6.1,29K,29000,https://www.imdb.com/title/tt21188080/?ref_=sr_t_141
142,The Six Triple Eight,2024,20242h 7m,6.7,29K,29000,https://www.imdb.com/title/tt24458622/?ref_=sr_t_142
143,Night Swim,2024,20241h 38m,4.7,29K,29000,https://www.imdb.com/title/tt9682428/?ref_=sr_t_143
144,Paddington in Peru,2024,20241h 46m,6.6,29K,29000,https://www.imdb.com/title/tt5822536/?ref_=sr_t_144
145,In a Violent Nature,2024,20241h 34m,5.6,29K,29000,https://www.imdb.com/title/tt30321146/?ref_=sr_t_145
146,Back to Black,2024,20242h 2m,6.3,28K,28000,https://www.imdb.com/title/tt21261712/?ref_=sr_t_146
147,Khel Khel Mein,2024,20242h 15m,6.5,28K,28000,https://www.imdb.com/title/tt27056012/?ref_=sr_t_147
148,The Life of Chuck,2024,20241h 51m,7.4,27K,27000,https://www.imdb.com/title/tt12908150/?ref_=sr_t_148
149,Munjya,2024,20242h 3m,6.3,27K,27000,https://www.imdb.com/title/tt27995594/?ref_=sr_t_149
150,Bad Newz,2024,20242h 22m,4.7,27K,27000,https://www.imdb.com/title/tt24517830/?ref_=sr_t_150
151,Sector 36,2024,20242h 3m,7.1,26K,26000,https://www.imdb.com/title/tt21626774/?ref_=sr_t_151
152,Elevation,2024,20241h 31m,5.6,26K,26000,https://www.imdb.com/title/tt23558280/?ref_=sr_t_152
153,The Garfield Movie,2024,20241h 41m,5.7,26K,26000,https://www.imdb.com/title/tt5779228/?ref_=sr_t_153
154,Exhuma,2024,20242h 14m,6.9,26K,26000,https://www.imdb.com/title/tt27802490/?ref_=sr_t_154
155,Article 370,2024,20242h 38m,7.8,26K,26000,https://www.imdb.com/title/tt30970235/?ref_=sr_t_155
156,Thelma,2024,20241h 38m,7.0,25K,25000,https://www.imdb.com/title/tt23778968/?ref_=sr_t_156
157,Queer,2024,20242h 17m,6.4,25K,25000,https://www.imdb.com/title/tt24176060/?ref_=sr_t_157
158,Drive-Away Dolls,2024,20241h 24m,5.4,25K,25000,https://www.imdb.com/title/tt19356262/?ref_=sr_t_158
159,Arcadian,2024,20241h 32m,5.5,25K,25000,https://www.imdb.com/title/tt22939186/?ref_=sr_t_159
160,Miller's Girl,2024,20241h 33m,5.2,25K,25000,https://www.imdb.com/title/tt8310486/?ref_=sr_t_160
161,Sikandar ka Muqaddar,2024,20242h 22m,6.0,25K,25000,https://www.imdb.com/title/tt31522415/?ref_=sr_t_161
162,The Sabarmati Report,2024,20242h 7m,6.4,25K,25000,https://www.imdb.com/title/tt30889755/?ref_=sr_t_162
163,Guntur Karam,2024,20242h 39m,5.4,25K,25000,https://www.imdb.com/title/tt14564000/?ref_=sr_t_163
164,Ulajh,2024,20242h 30m,6.0,25K,25000,https://www.imdb.com/title/tt19838634/?ref_=sr_t_164
165,Here,2024,20241h 44m,6.3,25K,25000,https://www.imdb.com/title/tt18272208/?ref_=sr_t_165
166,Our Little Secret,2024,20241h 41m,5.7,24K,24000,https://www.imdb.com/title/tt31022050/?ref_=sr_t_166
167,The Room Next Door,2024,20241h 47m,6.8,24K,24000,https://www.imdb.com/title/tt29439114/?ref_=sr_t_167
168,The Greatest of All Time,2024,20243h 3m,5.7,24K,24000,https://www.imdb.com/title/tt27487934/?ref_=sr_t_168
169,Jigra,2024,20242h 33m,6.0,24K,24000,https://www.imdb.com/title/tt26733317/?ref_=sr_t_169
170,The Strangers: Chapter 1,2024,20241h 31m,4.6,24K,24000,https://www.imdb.com/title/tt22050754/?ref_=sr_t_170
171,Marco,2024,20242h 25m,6.7,24K,24000,https://www.imdb.com/title/tt29383379/?ref_=sr_t_171
172,Sleeping Dogs,2024,20241h 50m,6.2,24K,24000,https://www.imdb.com/title/tt8542964/?ref_=sr_t_172
173,The Deliverance,2024,20241h 52m,5.1,24K,24000,https://www.imdb.com/title/tt4196566/?ref_=sr_t_173
174,Maidaan,2024,20243h 1m,7.9,23K,23000,https://www.imdb.com/title/tt10869778/?ref_=sr_t_174
175,Maria,2024,20242h 4m,6.4,22K,22000,https://www.imdb.com/title/tt22893404/?ref_=sr_t_175
176,Irish Wish,2024,20241h 33m,5.2,22K,22000,https://www.imdb.com/title/tt21957774/?ref_=sr_t_176
177,Mothers' Instinct,2024,20241h 34m,6.3,22K,22000,https://www.imdb.com/title/tt13397574/?ref_=sr_t_177
178,Nightbitch,2024,20241h 39m,5.5,22K,22000,https://www.imdb.com/title/tt12810074/?ref_=sr_t_178
179,Devara Part 1,2024,20242h 56m,6.0,22K,22000,https://www.imdb.com/title/tt11821912/?ref_=sr_t_179
180,Nickel Boys,2024,20242h 20m,6.9,22K,22000,https://www.imdb.com/title/tt23055660/?ref_=sr_t_180
181,Apocalypse Z: The Beginning of the End,2024,20241h 57m,6.1,22K,22000,https://www.imdb.com/title/tt27599851/?ref_=sr_t_181
182,Kneecap,2024,20241h 45m,7.6,22K,22000,https://www.imdb.com/title/tt27367464/?ref_=sr_t_182
183,Premalu,2024,20242h 36m,7.8,21K,21000,https://www.imdb.com/title/tt28288786/?ref_=sr_t_183
184,Memoir of a Snail,2024,20241h 35m,7.8,21K,21000,https://www.imdb.com/title/tt23770030/?ref_=sr_t_184
185,Amaran,2024,20242h 47m,8.1,21K,21000,https://www.imdb.com/title/tt27118357/?ref_=sr_t_185
186,Time Cut,2024,20241h 31m,5.0,21K,21000,https://www.imdb.com/title/tt14857528/?ref_=sr_t_186
187,Scoop,2024,20241h 42m,6.5,21K,21000,https://www.imdb.com/title/tt21279806/?ref_=sr_t_187
188,Friendship,2024,20241h 40m,6.8,21K,21000,https://www.imdb.com/title/tt30505698/?ref_=sr_t_188
189,Trigger Warning,2024,20241h 46m,4.6,20K,20000,https://www.imdb.com/title/tt5834874/?ref_=sr_t_189
190,Role Play,2024,20241h 40m,5.5,20K,20000,https://www.imdb.com/title/tt12964320/?ref_=sr_t_190
191,Attack on Titan the Movie: The Last Attack,2024,20242h 25m,9.2,20K,20000,https://www.imdb.com/title/tt33175825/?ref_=sr_t_191
192,Dear Santa,2024,20241h 47m,5.4,19K,19000,https://www.imdb.com/title/tt2396431/?ref_=sr_t_192
193,The Killer's Game,2024,20241h 44m,5.8,19K,19000,https://www.imdb.com/title/tt0327785/?ref_=sr_t_193
194,The Outrun,2024,20241h 58m,6.9,19K,19000,https://www.imdb.com/title/tt11687002/?ref_=sr_t_194
195,How to Make Millions Before Grandma Dies,2024,20242h 5m,7.9,19K,19000,https://www.imdb.com/title/tt31392609/?ref_=sr_t_195
196,Young Woman and the Sea,2024,20242h 9m,7.5,18K,18000,https://www.imdb.com/title/tt5177114/?ref_=sr_t_196
197,Apartment 7A,2024,20241h 47m,5.9,18K,18000,https://www.imdb.com/title/tt14371860/?ref_=sr_t_197
198,Fight or Flight,2024,20241h 42m,6.4,18K,18000,https://www.imdb.com/title/tt13652286/?ref_=sr_t_198
199,Orion and the Dark,2024,20241h 33m,6.3,18K,18000,https://www.imdb.com/title/tt28066777/?ref_=sr_t_199
